	English	Japanese	English Sentence	Japanese Example	listening score	speaking score
2322	suggest, recommend@advance, promote	すすめる	On someone's advice, I ended up buying something I didn't want.@Let's hurry up and proceed with our class.	<b>すすめられて</b> ほしく も ない もの を かっちゃった よ@はやく じゅぎょう を <b>すすめましょう</b>	0	0
2323	speed per hour	じそく	The highest speed of the shinkansen bullet train is 300 km/h.	しんかんせん の さいこう <b>じそく</b> は さんびゃくきろ です	0	0
2324	full speed, full steam	ぜんそくりょく	I ran at full speed for the first time in a long time.	ひさしぶり に <b>ぜんそくりょく</b> で はしりました	0	0
2325	delay, being late	おくれ	The train arrived ten minutes late.	でんしゃ が じゅっ ぷん <b>おくれ</b> で とうちゃく した ん だ	0	0
2326	run over@draw, pull@play on	ひく	Make sure you don't get run over by a car.@Please pull this door open.@He plays the guitar.	くるま に <b>ひかれない よう</b> き を つけなさい 。@この どあ は <b>ひいて</b> ください@かれ は ぎたー を <b>ひきます</b>	0	0
2327	delay, put off	おくらす	We delayed our departure one day.	わたしたち は しゅっぱつ を いちにち <b>おくらした</b> の	0	0
2328	karaoke	カラオケ	I sang karaoke to my heart's content.	<b>からおけ</b> で おもいきり うたった の	0	0
2329	end, finish	おえる	At last I have finished my homework.	やっと しゅくだい を <b>おえた</b>	0	0
2330	last, final	さいしゅう	What time is the last train for Tokyo?	とうきょうゆき の <b>さいしゅう</b> でんしゃ は なんじ です か	0	0
2331	last stop, terminus	しゅうてん	I got off at the terminal.	でんしゃ の <b>しゅうてん</b> で おりました	0	0
2332	from beginning to end, at all times	しじゅう	People keep going in and out of the room.	その へや は <b>しじゅう</b> ひと が でいり して いる ね	0	0
2333	last train	しゅうでん	I was just in time for the last train.	<b>しゅうでん</b> に やっと まにあった	0	0
2334	actual site, in the field	げんち	The local weather is rain.	<b>げんち</b> の てんき は あめ です	0	0
2335	present age, modern times	げんだい	The advancement of contemporary science surprises me.	<b>げんだい</b> の かがく の しんぽ に は おどろく よ	0	0
2336	cash	げんきん	Please pay the price in cash.	だいきん は <b>げんきん</b> で おねがい します	0	0
2337	stealthily, secretly	こっそり	She started dieting in secret.	かのじょ は <b>こっそり</b> だいえっと を はじめた の	0	0
2338	appear, emerge	あらわれる	The sun appeared between the clouds.	くも の あいだ から たいよう が <b>あらわれました</b>	0	0
2339	actual spot, job site	げんば	You can't enter the accident scene.	じこ <b>げんば</b> に は はいれません	0	0
2340	present address	げんじゅうしょ	Please write your current address here.	ここ に は <b>げんじゅうしょ</b> を かいて ください	0	0
2341	embodiment, manifestation	あらわれ	It is a manifestation of her expectations.	それ は かのじょ の きたい の <b>あらわれ</b> です	0	0
2342	healthy@health	けんこう	I'm living a healthy lifestyle.@The most important thing is your health.	わたし は <b>けんこう</b> な せいかつ を おくって います@<b>けんこう</b> が いちばん たいせつ だ 。	0	0
2343	attendance at school	ざいがく	My elder sister studies at university.	あね は だいがく に <b>ざいがく</b> して います	0	0
2344	actuality, reality	げんじつ	The reality was harsher than we expected.	<b>げんじつ</b> は よそう より きびしかった	0	0
2345	jogging	ジョギング	I jog every day.	わたし は まいにち <b>じょぎんぐ</b> を して います	0	0
2346	actually	じつは	To tell the truth, that was my misunderstanding.	あれ は <b>じつは</b> わたし の かんちがい でした	0	0
2347	practical use, utility	じつよう	This is a very practical site.	これ は とても <b>じつよう</b>てき な さいと だ ね	0	0
2348	real ability, capability	じつりょく	Their abilities are evenly matched.	ふたり の <b>じつりょく</b> は ごかく です	0	0
2349	practice, training	じっしゅう	Today we had cooking practice.	きょう は りょうり の <b>じっしゅう</b> が あった	0	0
2350	real thing, actual object	じつぶつ	When you explain something, it's easier to understand if you use the real thing.	なにか の せつめい を する とき は <b>じつぶつ</b> を つかう と わかり やすい の	0	0
2351	truly, surely	じつに	Yesterday's concert was indeed wonderful.	さくじつ の こんさーと は <b>じつに</b> すばらしかった よ	0	0
2352	pass, let pass	すごす	I spent the summer vacation in the highlands.	なつやすみ を こうげん で <b>すごしました</b>	0	0
2353	this and that, one thing or another	あれこれ	When I was buying clothes, I couldn't decide between different things.	ふく を かう の に <b>あれこれ</b> まよいました	0	0
2354	progression, lapse	けいか	Progress after the operation is going well.	しゅじゅつ ご の <b>けいか</b> は じゅんちょう です	0	0
2355	fault, mistake	あやまち	Do not repeat the same mistake.	おなじ <b>あやまち</b> を くりかえさない こと だ	0	0
2356	beginning@beginning, origin	はじめ	I couldn't do it well at first.@The start of our trip was good.	<b>はじめ</b> は うまく できません でした 。@わたしたち の たび は <b>はじめ</b> は よかった ん だ	0	0
2357	lively, active	かっぱつ	A lively exchange of opinions took place.	<b>かっぱつ</b> な いけん が かわされた の	0	0
2358	first departure	しはつ	I took the first train.	<b>しはつ</b> の でんしゃ に のりました	0	0
2359	express, say	いいあらわす	I can't express this feeling well.	この きもち を うまく <b>いいあらわせません</b>	0	0
2360	not at all, hardly@rather, pretty	なかなか	The parcel still hasn't arrived.@She's pretty good at painting.	にもつ が <b>なかなか</b> とどきません@かのじょ は え が <b>なかなか</b> じょうず です	0	0
2361	picture book	えほん	That child loves picture books.	その こ は <b>えほん</b> が だいすき です	0	0
2362	just about	およそ	It's about one kilometer from home to the station.	いえ から えき まで <b>およそ</b> いちきろ あります	0	0
2363	noise, interference	ざつおん	The background noise is awful and I can't hear your voice.	<b>ざつおん</b> が ひどくて こえ が きこえません	0	0
2364	sound of footsteps	あしおと	Loud footsteps were heard from the hallway.	ろうか から おおき な <b>あしおと</b> が きこえた	0	0
2365	come off, be removed@be harvested, be cultivated	とれる	My shirt button came off.@This eggplant has just been picked from the field.	しゃつ の ぼたん が <b>とれた</b>@この なす は はたけ で <b>とれた</b> ばかり です	0	0
2366	Chinese-derived kanji reading	おんよみ	What's the Chinese-derived reading of this kanji?	この かんじ の <b>おんよみ</b> は なん です か	0	0
2367	Japanese syllabary	ごじゅうおん	The names are arranged in the order of the Japanese syllabary.	なまえ は <b>ごじゅうおん</b>じゅん に ならんで います	0	0
2368	easygoing, comfortable	きらく	I want to have an easy life in the future.	しょうらい は <b>きらく</b> な せいかつ が したい です	0	0
2369	train@journalist, reporter	きしゃ	I went to town by train.@He's a newspaper journalist.	<b>きしゃ</b> で まち まで いった@かれ は しんぶん <b>きしゃ</b> です	0	0
2370	excursion, outing	こうらく	Autumn is a good season for excursions.	あき は <b>こうらく</b> に いい きせつ です ね	0	0
2371	third finger, ring finger	くすりゆび	She wears a ring on her ring finger.	かのじょ は <b>くすりゆび</b> に ゆびわ を はめて います	0	0
2372	circle, club	サークル	I wasn't sure which club to join.	どの <b>さーくる</b> に はいる か まよっちゃった	0	0
2373	appetite	しょくよく	I have no appetite today.	きょう は <b>しょくよく</b> が ありません	0	0
2374	plan, project	きかく	I made plans for a singles' party.	どくしんしゃ ぱーてぃー を <b>きかく</b> した	0	0
2375	artist, painter	がか	A Spanish painter drew this picture.	この え は すぺいん の <b>がか</b> が かきました	0	0
2376	branch office@dead person, the deceased	ししゃ	A branch office will be established in Osaka next month.@Thirty people died due to the accident.	らいげつ おおさか に <b>ししゃ</b> を かいせつ します@その じこ で さんじゅうにん の <b>ししゃ</b> が でた の	0	0
2377	what on earth, what the…@area, vicinity	いったい	What on earth is going on?@The whole area here is apple orchards.	<b>いったい</b> なにごと です か@この へん <b>いったい</b> は りんごばたけ です	0	0
2378	division, section	くかく	Those three sections are on sale.	あそこ の さん<b>くかく</b> は うりだしちゅう です	0	0
2379	screen	がめん	The TV screen is too bright.	てれび の <b>がめん</b> が あかる すぎる	0	0
2380	Christ, Christianity	キリスト	Christ's mother's name is Maria.	<b>きりすと</b> の ははおや の なまえ は まりあ だ	0	0
2381	surface, ground	じめん	There is a picture drawn on the ground.	<b>じめん</b> に なにか え が かいて ある ぞ	0	0
2382	surface of the water	すいめん	There are a lot of small waves on the surface of the lake.	みずうみ の <b>すいめん</b> に ちいさく なみ が たって いる な	0	0
2383	disposition, arrangement@period, menstruation	せいり	I sorted out the old clothes.@My period started yesterday.	ふるい ふく を <b>せいり</b> しました@きのう <b>せいり</b> が はじまった の	0	0
2384	rest, break@rapid, swift	きゅうそく	It's important to take breaks.@That country's going through rapid economic development.	<b>きゅうそく</b> を とる こと は たいせつ です@あの くに の けいざい は <b>きゅうそく</b> に はってん して いる の ね	0	0
2385	whole surface	いちめん	It was a snowy landscape outside.	そと は <b>いちめん</b> の ゆきげしき だった ね	0	0
2386	truth, reality	しんじつ	There is one truth.	<b>しんじつ</b> は ひとつ です	0	0
2387	golden color	きんいろ	The roof of that temple is golden.	あの てら の やね は <b>きんいろ</b> です ね	0	0
2388	form, model	けいしき	Please maintain the format of the documents.	しょるい は <b>けいしき</b> を まもって つくって ください	0	0
2389	small-sized	こがた	I bought a small suitcase.	<b>こがた</b> の すーつけーす を かいました	0	0
2390	plainly, matter-of-factly	あっさり	Don't say it so matter-of-factly.	そう <b>あっさり</b> いわない で	0	0
2391	a kind of, a sort of@a kind of, of sorts	いっしゅ	It is a kind of fruit.@This has an unusual sort of taste.	それ は くだもの の <b>いっしゅ</b> です@これ は <b>いっしゅ</b> どくとく の あじ が する ね	0	0
2392	each kind, various	かくしゅ	There are various magazines in the library.	としょかん に は <b>かくしゅ</b> の ざっし が そろって います	0	0
2393	empty@gargle	がらがら	The movie theater was empty.@Someone is gargling loudly.	えいがかん は <b>がらがら</b> でした@だれか が <b>がらがら</b> と うがい を して いる ね	0	0
2394	race	じんしゅ	There are many ethnic groups in this country.	この くに に は さまざま な <b>じんしゅ</b> が います	0	0
2395	item, event	しゅもく	The athlete won medals in two events.	その せんしゅ は に<b>しゅもく</b> で めだる を とった わ	0	0
2396	mankind, humankind	じんるい	Humans walk on two feet.	<b>じんるい</b> は にほん の あし で あるきます	0	0
2397	hard, diligently	せっせと	He worked hard from morning till night.	かれ は あさ から ばん まで <b>せっせと</b> はたらいた の	0	0
2398	documents, papers	しょるい	I made ten copies of the document.	<b>しょるい</b> を じゅうまい こぴー しました	0	0
2399	approach, proximity	せっきん	A typhoon is approaching.	たいふう が <b>せっきん</b> して います ね	0	0
2400	come in contact, adjoin	せっする	It is good for children to have contact with animals.	こども が どうぶつ に <b>せっする</b> の は よい こと です	0	0
2401	angle	かくど	It's difficult to see the screen from this angle.	この <b>かくど</b> からは がめん が みえ にくい です ね	0	0
2402	triangle	さんかくけい	Figure out the dimensions of this triangle.	この <b>さんかくけい</b> の めんせき を だしなさい	0	0
2403	curve, curved line	きょくせん	This road curves gently.	この みち は ゆるい <b>きょくせん</b> を えがいて いる よ	0	0
2404	catalogue	カタログ	I looked at the catalog and placed an order.	<b>かたろぐ</b> を みて ちゅうもん した ん だ	0	0
2405	school term@musical instrument	がっき	A new semester has started.@My favorite instrument is the guitar.	しん<b>がっき</b> が はじまった ね@わたし が すき な <b>がっき</b> は ぎたー です	0	0
2406	composition	さっきょく	Who composed this tune?	この きょく は だれ が <b>さっきょく</b> した の です か	0	0
2407	commonality	きょうつう	We have a common hobby.	わたしたち は <b>きょうつう</b> の しゅみ を もって います	0	0
2408	common language, lingua franca	きょうつうご	English is a common language in India.	いんど で は えいご は <b>きょうつうご</b> だ よ	0	0
2409	joint, commonality	きょうどう	The two companies jointly developed a new product.	にしゃ が <b>きょうどう</b> で しんせいひん を かいはつ した ん だ	0	0
2410	combination, joint	ごうどう	Three companies had a joint presentation for their new products.	さんしゃ <b>ごうどう</b> で しんさく の はっぴょうかい を ひらきました	0	0
2411	everybody, all	いちどう	We all looked at each other.	<b>いちどう</b> かお を みあわせました	0	0
2412	before, ago	いぜん	He used to live in this town.	<b>いぜん</b> かれ は この まち に すんで いた ん だ	0	0
2413	jazz	ジャズ	I went to listen to jazz last night.	きのう の よる <b>じゃず</b> を きき に いきました	0	0
2414	lodging, boarding house	げしゅく	I boarded at a relative's house for four years.	しんるい の いえ に よねんかん <b>げしゅく</b> しました	0	0
2415	Chinese and Japanese	かんわ	I looked up the meaning of a kanji in a Sino-Japanese dictionary.	<b>かんわ</b> じてん で かんじ の いみ を しらべた の	0	0
2416	English-Japanese	えいわ	I often use an English-Japanese dictionary.	<b>えいわ</b> じしょ を よく つかいます	0	0
2417	the West, the Occident	せいよう	I am interested in Western architecture.	わたし は <b>せいよう</b> の けんちく に きょうみ が あります	0	0
2418	the other side, the other party, opponent@invalidity, ineffectiveness	むこう	My friend is over there.@This coupon is already invalid.	ともだち は <b>むこう</b> に います@この くーぽん は もう <b>むこう</b> です	0	0
2419	signature, autograph	サイン	Please sign here.	ここ に <b>さいん</b> して ください	0	0
2420	ocean, sea	かいよう	In the past, sailors ventured into the ocean in search of unexplored lands.	その むかし こうかいしたち は みとう の ち を もとめ <b>かいよう</b> に のりだしました	0	0
2421	Westerner	せいようじん	Westerners are not good at sitting with their legs folded underneath them.	<b>せいようじん</b> は せいざ が にがて よ	0	0
2422	uniform	せいふく	There is no uniform in my school.	わたし の がっこう に は <b>せいふく</b> が ありません	0	0
2423	indoors	しつない	I have the kids play indoors on rainy days.	あめ の ひ は こども を <b>しつない</b> で あそばせます	0	0
2424	parent and child	おやこ	A mother duck and her ducklings are in the pond.	いけ に かも の <b>おやこ</b> が います	0	0
2425	relatives, kin	しんるい	He was put under his relatives' care when he was small.	かれ は おさない とき に <b>しんるい</b> に あずけられた ん だ	0	0
2426	get close to, get familiar with	したしむ	Hiking is a good chance to get close to nature.	はいきんぐ は しぜん に <b>したしむ</b> いい きかい です よ	0	0
2427	deceive, evade	ごまかす	He cheated on the answer to the question.	かれ は しつもん の こたえ を <b>ごまかした</b> ね	0	0
2428	close friend	しんゆう	He is a close friend.	かれ は わたし の <b>しんゆう</b> です	0	0
2429	thumb	おやゆび	I injured my thumb.	<b>おやゆび</b> を けがしました	0	0
2430	intimacy, familiarity	したしみ	Everyone feels close to him. .	かれ に は だれ も が <b>したしみ</b> を かんじます	0	0
2431	aquarium	すいぞくかん	There is a dolphin in the aquarium here.	ここ の <b>すいぞくかん</b> に は いるか が います	0	0
2432	year end	さいまつ	Year-end sales have begun at the department stores.	でぱーと の <b>さいまつ</b> おおうりだし が はじまった よ	0	0
2433	sisters	しまい	There are three girls in my family, myself and two sisters.	うち は さんにん <b>しまい</b> です	0	0
2434	intelligent	インテリ	She is not only intelligent but beautiful too.	かのじょ は <b>いんてり</b> で しかも びじん です ね	0	0
2435	gradually, by degrees	しだいに	The incident was gradually forgotten.	その じけん は <b>しだいに</b> わすれられて いった の さ	0	0
2436	as soon as	しだい	I will depart once I am told.	れんらく が あり <b>しだい</b> しゅっぱつ します	0	0
2437	since@request, commission	いらい	I haven't met her since then.@I requested his cooperation.	それ <b>いらい</b> かのじょ に あってない@かれ に きょうりょく を <b>いらい</b> しました	0	0
2438	consumer	しょうひしゃ	This law is used to defend the consumer.	この ほうりつ は <b>しょうひしゃ</b> を まもる ため の もの です	0	0
2439	scholar	がくしゃ	He is a writer and a scholar.	かれ は さっか で あり <b>がくしゃ</b> です	0	0
2440	author, writer	さくしゃ	Who is the author of this book?	この ほん の <b>さくしゃ</b> は だれ です か	0	0
2441	one by one, in detail	いちいち	He gives me instructions on everything.	かれ は <b>いちいち</b> わたし に さしず する	0	0
2442	the former	ぜんしゃ	I think that the former is excellent.	わたし は <b>ぜんしゃ</b> の ほう が すぐれて いる と おもいます	0	0
2443	after all, finally	けっきょく	I wonder what he wanted to say after all.	かれ は <b>けっきょく</b> なに を いいたかった の だろう	0	0
2444	newlywed	しんこん	My younger sister and her husband are the newlyweds.	いもうとふうふ は <b>しんこん</b> です	0	0
2445	engagement, betrothal	こんやく	They are engaged.	ふたり は <b>こんやく</b> して います	0	0
2446	section chief	かちょう	He was promoted to section chief.	かれ は <b>かちょう</b> に しょうしん しました	0	0
2447	effect, validity	こうりょく	The effect of the medicine is strong.	その くすり は <b>こうりょく</b> が つよい よ	0	0
2448	strike	ストライキ	Employees will go on strike from tomorrow.	じゅうぎょういん は あす から <b>すとらいき</b> です	0	0
2449	effect, efficacy	ききめ	This medicine is so effective.	この くすり の <b>ききめ</b> は すばらしい の	0	0
2450	each one, every individual	かくじ	Please take your own garbage home.	ごみ は <b>かくじ</b> で もちかえって ください	0	0
2451	naturally, instinctively	しぜんに	Please speak naturally without being formal.	かたく ならない で <b>しぜんに</b> はなして ください	0	0
2452	via, through	けいゆ	There are even viruses that spread via e-mail.	めーる を <b>けいゆ</b> して ひろがる うぃるす も あります	0	0
2453	(not) that much, (not) so much	あんまり	I don't like this so much.	これ は <b>あんまり</b> すき じゃ ない な	0	0
2454	trust, credit	しんよう	I can't trust what he says.	かれ の いう こと は <b>しんよう</b> できない	0	0
2455	reliance, confidence	しんらい	I trust my subordinates.	わたし は ぶか を <b>しんらい</b> して います	0	0
2456	the people, populace	じんみん	He engaged in politics for the people's benefit.	かれ は <b>じんみん</b> の ため の せいじ を おこなった	0	0
2457	the people, nation	こくみん	Citizen safety is most important.	<b>こくみん</b> の あんぜん が もっとも たいせつ です	0	0
2458	main, principal	しゅよう	IT is a major industry in India.	あいてぃー さんぎょう は いんど の <b>しゅよう</b> さんぎょう よ ね	0	0
2459	mainly, mostly	おもに	This product is mainly popular among women.	この しょうひん は <b>おもに</b> じょせい に にんき が ありまし て	0	0
2460	leading part, starring role	しゅやく	He was chosen for a leading part in the school play.	かれ は がっこう の げき で <b>しゅやく</b> に えらばれた よ	0	0
2461	agent, main constituent	しゅたい	The government should be the agent of the people.	せいじ は こくみん <b>しゅたい</b> で ある べき です	0	0
2462	subject, theme	しゅだい	The main theme of this novel is opposition to war.	この しょうせつ の <b>しゅだい</b> は はんせん です	0	0
2463	independence, autonomy	じしゅ	Those players started training independently.	その せんしゅ は <b>じしゅ</b>とれーにんぐ を はじめた の	0	0
2464	staple food	しゅしょく	The staple food of Asia is rice.	あじあ の <b>しゅしょく</b> は こめ です	0	0
2465	main, chief	おも	Her main job is customer service.	かのじょ の <b>おも</b> な しごと は せっきゃく だ よ	0	0
2466	principle, -ism	しゅぎ	I do not have a car on principle.	わたし は くるま は もたない <b>しゅぎ</b> です	0	0
2467	Communism	きょうさんしゅぎ	That country is a Communist nation.	その くに は <b>きょうさんしゅぎ</b> の くに だ よ	0	0
2468	hereafter@intention, inclination	いこう	Please call me in the evening.@Let's ask what he intends to do.	ゆうがた <b>いこう</b> に お でんわ を ください@かれ の <b>いこう</b> を きいて みましょう	0	0
2469	curve, bend	カーブ	Be careful on this curve.	この <b>かーぶ</b> は き を つけて	0	0
2470	sense of duty, justice	ぎり	He values duty.	かれ は <b>ぎり</b> を たいせつ に して います	0	0
2471	assembly, council	ぎかい	The council discussed the district's plan for the upcoming year.	<b>ぎかい</b> で く の らいねん の よてい が はなしあわれた ん だ 。	0	0
2472	chairman, president	ぎちょう	The chairman made the opening greetings for the meeting.	<b>ぎちょう</b> が かいかい の あいさつ を しました	0	0
2473	topic for discussion, agenda	ぎだい	Today's agenda looks interesting.	きょう の <b>ぎだい</b> は おもしろ そう です	0	0
2474	argument, discussion	ぎろん	My father likes engaging in debates.	ちち は <b>ぎろん</b>ずき です	0	0
2475	conclusion	けつろん	We did not reach a conclusion in our discussion today.	きょう の はなしあい で は <b>けつろん</b> が でなかった	0	0
2476	guide	ガイド	I signed up for a conducted tour.	<b>がいど</b> つき の りょこう を もうしこんだ の	0	0
2477	speech, discussion	げんろん	Freedom of speech is the right of the people.	<b>げんろん</b> の じゆう は こくみん の けんり です	0	0
2478	violation, breach	いはん	He violated school regulations.	かれ は こうそく に <b>いはん</b> しました	0	0
2479	answer, comply with	おうじる	I responded to his demand.	わたし は かれ の ようぼう に <b>おうじました</b>	0	0
2480	application	おうよう	This recipe can be used in many ways.	この れしぴ は いろいろ <b>おうよう</b> できます	0	0
2481	tentatively	いちおう	It'd be better to just let him know.	かれ に も <b>いちおう</b> しらせて おいた ほう が いいだろう	0	0
2482	reply, answer@solution, answer	かいとう	I answered the questionnaire.@I checked the answers to the exam on the Internet.	あんけーと に <b>かいとう</b> しました@いんたーねっと で しけん の <b>かいとう</b> を かくにん した ん だ	0	0
2483	distinction, classification	くべつ	Those two look identical and I can't tell them apart.	あの ふたり は そっくり で <b>くべつ</b> できない	0	0
2484	discrimination	さべつ	He is working to end discrimination.	かれ は <b>さべつ</b> を なくす うんどう を して います	0	0
2485	sex, gender	せいべつ	Please divide attendees by gender.	しゅっせきしゃ を <b>せいべつ</b> で わけて ください	0	0
2486	generally, in general	いっぱんに	In general, elderly people get up early.	<b>いっぱんに</b> ろうじん は はやおき です	0	0
2487	economical, economic	けいざいてき	The economic effects are immeasurable.	<b>けいざいてき</b> な こうか は はかり しれません	0	0
2488	autonomous, voluntary	じしゅてき	Students held an independent study meeting.	がくせいたち は <b>じしゅてき</b> に べんきょうかい を ひらいた わ よ	0	0
2489	rational, logical	ごうりてき	She is a person who thinks logically.	かのじょ は <b>ごうりてき</b> な かんがえかた を する ひと です	0	0
2490	off track, out of line	ずれる	The poster is slightly out of position.	ぽすたー の いち が すこし <b>ずれて いる</b> よ	0	0
2491	formal	けいしきてき	He only asked formal questions.	かれ は <b>けいしきてき</b> な しつもん を した だけ だった	0	0
2492	practical	じつようてき	All his inventions are practical.	かれ の はつめいひん は みな <b>じつようてき</b> だ よ	0	0
2493	feminine, womanly	じょせいてき	His way of talking is a little feminine.	かれ は ことばづかい が すこし <b>じょせいてき</b> だ ね	0	0
2494	decrease, diminish@pass, pass through	へる	I've lost a lot of weight.@He became a writer after being a journalist.	たいじゅう が かなり <b>へりました</b>@かれ は しんぶん きしゃ を <b>へて</b> さっか に なりました	0	0
2495	horizontal, level	すいへい	This shelf is not horizontal.	この たな は <b>すいへい</b> に なって いません ね	0	0
2496	horizon	すいへいせん	The sun was setting on the horizon.	<b>すいへいせん</b> に たいよう が しずんで いった	0	0
2497	higher, high-grade	こうとう	It is said that humans are advanced creatures.	にんげん は <b>こうとう</b> な せいぶつ と いわれて いる	0	0
2498	first-class, premium	じょうとう	We drank good wine.	<b>じょうとう</b> な わいん を のんだ の	0	0
2499	exaggerate	オーバー	His story is always exaggerated.	かれ の はなし は いつも <b>おーばー</b> です	0	0
2500	sudden illness	きゅうびょう	An acquaintance of mine suddenly fell ill.	しりあい が <b>きゅうびょう</b> で たおれた	0	0
2501	medical science, medicine	いがく	He studies medicine.	かれ は <b>いがく</b> を まなんで います	0	0
2502	Chinese-character compounds@nursing	かんご	Kanji compounds are originally loanwords.@This hospital has around-the-clock care.	<b>かんご</b> は もともと がいらいご です@この びょういん は にじゅうよじかん <b>かんご</b> です	0	0
2503	scientist	かがくしゃ	He is a very famous scientist.	かれ は とても ゆうめい な <b>かがくしゃ</b> だ	0	0
2504	subject	かもく	I took exams for three subjects today.	きょう は さん<b>かもく</b> の てすと を うけた よ	0	0
2505	subject, department	がっか	Math is his strong subject.	かれ の とくい な <b>がっか</b> は すうがく です	0	0
2506	ride, take@appear in print	のる	Please take a taxi from the station.@Our professor's paper was published in the journal.	えき からは たくしー に <b>のって</b> ください@せんせい の ろんぶん が ざっし に <b>のりました</b> よ	0	0
2507	surgery	げか	My friend broke a bone and was admitted to hospital for surgery.	ゆうじん が こっせつ して <b>げか</b> に にゅういん しました	0	0
2508	dentistry	しか	He is a dentist.	かれ は <b>しか</b> いし です	0	0
2509	air-conditioning, air conditioner	エアコン	The air conditioner was installed in the room.	へや に <b>えあこん</b> を とりつけた ん だ	0	0
2510	natural science	しぜんかがく	My elder sister studies natural science at university.	あね は だいがく で <b>しぜんかがく</b> を まなんで います	0	0
2511	humanities	じんぶんかがく	I majored in humanities when I was in college.	だいがく で <b>じんぶんかがく</b> を せんこう しました	0	0
2512	social sciences	しゃかいかがく	I'm interested in the field of social sciences.	<b>しゃかいかがく</b> の ぶんや に かんしん が あります	0	0
2513	park, public garden@public performance@lecture	こうえん	The children are playing in the park.@Their overseas performances were announced.@His lectures have a good reputation.	こどもたち が <b>こうえん</b> で あそんで いる@かれら の かいがい<b>こうえん</b> が はっぴょう された よ@かれ の <b>こうえん</b> は ひょうばん が いい	0	0
2514	interruption of service@normal, regular	ふつう	The train stopped because of a power failure this morning.@She's just a normal girl.	けさ ていでん で でんしゃ が <b>ふつう</b> に なった よ@かのじょ は <b>ふつう</b> の おんな の こ だ	0	0
2515	corpse, body	したい	A corpse was found in the park.	こうえん で <b>したい</b> が みつかった の	0	0
2516	life and death	せいし	This is a matter of life and death.	これ は ひと の <b>せいし</b> に かかわる もんだい で す	0	0
2517	sense, intuition@pipe, tube@can, tin@interval, duration of time	かん	Don't underestimate a woman's intuition.@The gas pipe exploded.@The coffee is in that can.@He disappeared in the meantime.	おんな の <b>かん</b> を あまく みて は いけません@がす<b>かん</b> が ばくはつ しました@こーひー は その <b>かん</b> に はいって います@その <b>かん</b> に かれ は いなく なって いました	0	0
2518	frequently, repeatedly	しょっちゅう	He is frequently late.	かれ は <b>しょっちゅう</b> ちこく して いる な	0	0
2519	pain, ache	いたみ	I have a pain in my back.	せなか に <b>いたみ</b> が あります	0	0
2520	feel pain, hurt	いたむ	I have a throbbing toothache.	むしば が ずきずき <b>いたみます</b>	0	0
2521	prohibit, forbid	きんじる	Since last year, the city has banned smoking cigarettes while walking.	し は さくねん から あるきたばこ を <b>きんじて いる</b> の	0	0
2522	smoke, fumes	けむり	Smoke was rising straight up from the chimney.	えんとつ から <b>けむり</b> が まっすぐ あがって いた の	0	0
2523	liquor store	さかや	Go and buy some beer at that liquor store.	そこ の <b>さかや</b>さん で びーる を かって きて	0	0
2524	abstention from alcohol	きんしゅ	He is on the wagon.	かれ は <b>きんしゅ</b> して います	0	0
2525	table lamp, desk lamp	スタンド	My elder sister was reading a book by the desk lamp.	あね は <b>すたんど</b> の した で ほん を よんで いた ん だ	0	0
2526	decrease, reduction@phenomenon	げんしょう	The population of this country is decreasing.@A mysterious phenomenon occurred in the village recently.	この くに は じんこう が <b>げんしょう</b> して いる わ ね@むら で は さいきん ふしぎ な <b>げんしょう</b> が おきて います	0	0
2527	steep, craggy	けわしい	My father's expression became grim.	ちち の ひょうじょう が <b>けわしく なった</b> の	0	0
2528	bill, bond	しょうけん	I'm thinking of selling some securities and converting them to funds.	<b>しょうけん</b> を うって しきん に しよう と おもう の	0	0
2529	indirect@joint	かんせつ	It's one of the indirect causes.@I have twisted my wrist joint.	それ は <b>かんせつ</b>てき な げんいん の ひとつ です@てくび の <b>かんせつ</b> を ひねっちゃった	0	0
2530	existence, survival	せいぞん	All passengers survived.	じょうきゃく は ぜんいん <b>せいぞん</b> して います	0	0
2531	know	ごぞんじ	Do you know his name?	かれ の なまえ を <b>ごぞんじ</b> です か	0	0
2532	mutual agreement	ごうい	The two companies agreed to the amalgamation.	りょうしゃ が がっぺい に <b>ごうい</b> しました	0	0
2533	pour@stab, prick, sting@shine on@open (an umbrella)@point to, aim at	さす	I applied oil to the bicycle.@I was stung on the arm by an insect.@The sun is shining today for the first time in a long time.@I opened my umbrella as it started to rain.@The clock points to 12 o'clock.	じてんしゃ に あぶら を <b>さした</b> の 。@むし に うで を <b>さされました</b>@きょう は ひさしぶり に ひ が <b>さして る</b> ね@あめ が ふって きた の で かさ を <b>さしました</b>@とけい が じゅうにじ を <b>さして る</b>	0	0
2534	feel disappointed	がっかり	I was disappointed bacause my grades fell.	せいせき が おちて <b>がっかり</b> した	0	0
2535	volition, motivation	いよく	He is very motivated to work.	かれ は しごと に <b>いよく</b> を もやして います	0	0
2536	resolution, determination	けつい	His decision is firm.	かれ の <b>けつい</b> は かたい な	0	0
2537	thing, object@person, fellow	もの	There are a lot of things in her house.@I'm the person who called a while earlier.	かのじょ の いえ に は <b>もの</b> が たくさん あります@わたし は さきほど でんわ した <b>もの</b> です	0	0
2538	unexpected, unforeseen	いがい	Surprisingly, he is single.	<b>いがい</b> に も かれ は どくしん です	0	0
